Fecha,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Total
01/01/2003,62.4429,28.5954,3.9878,8.9093,28.9976,24.3048,86.784,50.515,159.7439,56.2264,230.5399,287.6171,197.8474,117.1057,281.2503,394.2626,82.0447,48.2627,32.2586,160.9013,182.1825,56.5911,9.7764,79.0674,69.2493,27.583,17.3948,49.4152,28.7751,209.5491,12.1488,85.7964,3170.1267
01/04/2003,58.7056,33.7084,4.4807,14.2668,34.4963,26.4262,108.89,58.3548,203.4132,68.0159,280.8131,379.5424,223.6489,160.3518,363.3593,466.3701,96.0133,58.6294,44.3049,202.4293,219.0562,75.4763,11.6203,103.3746,83.2809,31.9094,21.6538,59.2699,37.302,255.6134,14.2889,105.5812,3904.6473
01/07/2003,68.7904,44.3751,6.0983,16.5759,38.9714,25.9999,117.8861,67.9352,236.9725,70.7405,288.2926,388.6516,224.0639,172.8014,372.2595,473.9192,98.1532,61.6351,56.301,216.9036,229.5919,76.6404,17.5592,118.1059,85.0878,35.8036,23.3703,65.1417,41.8739,263.1958,17.0359,107.3841,4128.1167
01/10/2003,70.3289,35.3224,4.3827,11.8568,37.3657,27.0087,121.5688,59.8691,214.6294,67.504,306.8104,351.6461,231.8889,158.1896,318.196,452.9158,96.9521,58.9999,56.3049,206.8831,223.0519,74.6298,13.89,102.9541,82.8952,33.0345,23.4745,60.636,41.2394,270.8241,16.9372,103.6052,3935.7957
01/01/2004,73.5442,34.4552,3.7093,10.3901,34.7218,29.5465,108.1185,57.0475,187.3776,67.0911,282.1747,353.0338,220.3849,138.3583,314.2456,474.7085,90.7133,53.4939,57.9099,185.4422,201.2476,68.1611,13.5589,94.8223,80.152,35.7754,20.2184,57.9866,35.4409,233.0826,15.8887,101.06,3733.8612
01/04/2004,82.3219,43.6774,4.94,14.048,45.3903,33.8036,162.05,76.3738,251.2259,87.5094,382.4993,483.5346,271.1678,204.3108,390.9972,630.2875,114.6308,70.0164,80.1494,258.8522,272.226,98.4106,18.2238,127.6238,100.6677,45.7665,27.8028,77.5918,47.0415,312.2909,19.5704,133.6355,4968.6377
01/07/2004,82.9733,45.6772,4.9491,14.939,47.8342,34.3311,166.651,77.639,247.4253,88.8864,406.4079,484.5806,266.8503,206.1733,383.6351,615.119,116.5146,72.7572,81.8962,269.0563,276.8143,100.8156,18.1938,132.4156,100.3545,46.1227,29.571,78.5468,56.3409,322.8215,20.3736,131.3582,5028.0246
01/10/2004,75.995,41.2188,4.2024,13.924,52.0898,36.6642,150.7302,68.3612,235.6437,86.1804,374.7064,406.8386,259.9445,176.7416,373.3512,561.2882,111.3236,66.1352,75.8945,235.5084,258.7673,86.0139,17.4817,114.3481,92.8462,42.7561,27.6926,69.978,46.2692,299.8576,19.9137,118.5583,4601.2245
01/01/2005,67.808,52.4007,5.2842,13.129,52.1147,38.515,148.3498,81.0961,253.3276,83.636,353.3164,392.3325,256.9729,158.8898,374.5538,532.1029,106.3381,64.4181,57.8435,215.4248,235.7881,81.1224,19.1143,114.1842,95.5535,62.7161,30.4254,85.8051,41.3286,279.4688,19.8693,114.2931,4487.5229
01/04/2005,77.9847,66.828,6.2395,17.4076,62.0372,42.4185,202.8849,103.712,328.8473,104.5778,462.1955,526.3812,311.2756,222.4077,438.8012,652.5181,132.1542,77.8645,74.9905,283.3189,308.9204,112.1488,22.887,150.1898,119.0398,81.6243,41.0172,115.4852,57.3201,360.141,23.8946,146.3476,5733.8606
01/07/2005,87.5852,70.2093,6.4133,17.3155,63.0702,42.0411,209.6024,102.5278,347.5536,102.1362,474.1299,516.7954,300.0687,225.2904,440.7185,642.3117,132.9232,81.1892,74.218,296.3175,320.9896,112.1666,21.3068,151.3164,119.091,76.4806,42.4056,113.909,63.8884,365.6277,24.3301,141.5848,5785.514
01/10/2005,89.2073,67.1974,6.5145,17.874,63.5419,42.1025,204.5013,101.8522,382.9214,93.9506,475.2358,469.2516,306.2901,208.3946,441.6665,615.4683,133.7358,79.2144,76.9313,285.1875,316.3653,100.4782,21.6656,146.6186,117.4473,73.9052,42.6102,110.1342,58.5633,368.2441,26.043,138.2595,5681.3734
01/01/2006,82.1946,68.569,6.5564,18.2404,63.4007,42.9817,206.0684,113.8334,394.7934,95.7312,452.3239,487.7,325.5995,206.8253,451.9396,595.8028,132.1375,76.3275,78.4932,287.9489,314.3171,103.2714,21.4882,151.894,115.7903,86.2704,42.2574,116.3313,54.08,366.8171,26.3358,148.0112,5734.3317
01/04/2006,100.4855,78.2581,7.5375,22.2706,73.7953,47.8695,264.0635,130.1335,386.1937,116.9134,572.8749,646.0754,391.7443,277.8944,520.156,674.4036,155.9915,92.5076,91.8939,374.2358,397.6006,138.0286,25.0248,195.0381,135.6063,92.2918,51.5967,135.3509,72.3303,463.0845,30.9908,185.3214,6947.5631
01/07/2006,100.8364,80.2418,7.3143,21.4993,71.7066,46.7902,246.8814,119.058,362.8837,111.6796,544.1694,629.0415,370.9933,263.7453,502.4231,641.4188,152.3371,93.2885,88.9527,363.359,394.7749,130.3143,26.1767,193.1353,129.1623,77.3179,49.0842,127.3751,76.5805,437.5936,32.2582,174.4959,6666.8889
01/10/2006,95.8714,74.9955,7.1261,19.9983,66.4243,45.458,223.8217,110.9057,346.5225,104.1717,509.7796,548.3864,367.3848,234.3818,500.9563,592.067,147.5335,86.118,83.2128,334.6353,375.8809,112.4657,26.847,174.422,122.6601,70.0857,44.9006,117.6697,67.6929,413.2864,32.4936,159.8963,6218.0514
01/01/2007,94.6044,75.9435,6.9685,18.3368,66.5401,47.9253,202.3432,105.4463,248.2769,102.9435,485.4589,528.8281,345.3268,238.9438,483.6008,580.2547,145.1718,82.4545,74.1641,328.5859,358.7589,106.5224,22.1876,167.3357,123.1669,77.4321,41.3904,113.4882,61.3728,392.4725,31.3431,158.6429,5916.2313
01/04/2007,99.2885,86.804,7.9936,21.0857,78.7026,55.184,243.5484,115.23,269.9448,119.1787,562.8682,658.5406,388.7175,299.6473,520.4847,645.1319,164.0729,96.0573,86.0045,395.6861,422.1417,129.5139,25.2908,208.3689,138.9435,91.6572,48.5989,141.027,78.5077,462.0967,34.355,184.2364,6878.9088
01/07/2007,95.228,90.0918,8.7557,21.4751,76.9482,51.1779,254.0638,121.7652,274.5622,119.8897,587.437,644.9786,389.3539,297.2539,511.0421,635.3457,167.2409,102.5952,85.7137,424.5006,433.1124,129.8958,26.5194,211.9484,134.2501,87.0194,49.6426,138.9266,87.2706,493.1091,36.1851,180.4492,6967.7477
01/10/2007,83.902,81.74,8.2888,19.5168,71.0475,45.3758,221.1966,117.7763,265.7777,111.0419,531.254,556.6485,366.1606,256.3808,481.5331,575.0728,158.9156,94.0535,81.1827,368.6358,403.5465,109.1781,24.5233,190.7236,126.632,76.2324,43.1923,123.2447,76.1505,428.0511,34.8684,164.0864,6295.9302
01/01/2008,72.1281,77.876,7.7355,16.5927,65.0105,42.7448,183.9337,112.852,248.2539,102.6949,466.5684,521.8886,340.0444,216.0516,453.3153,567.874,144.1728,83.3706,74.9587,328.6822,363.2023,97.7336,22.4537,167.8998,119.3994,77.8833,37.1659,117.667,64.1296,375.2192,33.2093,155.046,5757.7576
01/04/2008,87.4482,88.1468,8.7293,20.211,76.5454,47.5358,225.1044,128.9261,289.1037,120.9582,553.8718,646.4238,388.7503,268.6124,507.8915,656.0174,166.0533,98.0715,88.1786,402.0048,435.7338,120.8091,26.1201,211.3338,133.0379,89.8568,44.3609,137.6185,80.5376,444.3432,37.0123,191.5485,6820.8968
01/07/2008,91.3643,89.0078,9.0581,18.8467,70.6072,46.1448,215.9946,120.4845,269.4708,112.8513,531.5007,595.8876,351.1277,245.0883,473.5364,611.5091,157.321,97.3409,81.287,395.7189,419.2047,110.887,25.5552,194.5877,117.1215,76.4314,39.6832,128.3367,84.2466,411.1512,34.192,168.9793,6394.5242
01/10/2008,81.3932,79.2862,9.1738,17.1328,66.199,48.2376,186.0892,112.5278,277.0339,105.4968,514.7625,553.4678,355.5396,231.2179,480.0506,613.4618,155.0456,97.667,79.3452,395.842,397.5314,106.9727,23.2176,186.9304,118.1299,66.784,34.8073,116.8892,76.2925,387.5952,31.7089,165.977,6171.8066
01/01/2009,74.6774,73.8543,8.1605,14.7971,60.7406,45.3631,151.9344,107.4978,247.7919,97.5578,441.9883,499.6042,318.9848,190.9996,455.3365,563.8988,141.656,84.8838,74.5152,324.5803,338.9855,93.8103,20.7798,160.0857,117.395,69.8534,30.4462,104.4858,60.8023,341.1452,28.0287,154.2323,5498.8726
01/04/2009,75.4587,83.327,8.0547,14.6692,61.4305,41.8998,165.1143,105.9515,249.6891,99.2683,446.9798,528.1867,310.4665,206.1857,448.9797,558.7366,143.1162,86.9034,76.5365,344.6705,361.2579,97.5433,21.9447,168.0552,118.7825,75.9683,30.8374,109.2808,67.1839,344.5329,28.8244,154.482,5634.3179
01/07/2009,68.2654,86.4913,8.1067,13.9402,58.933,40.1002,161.3908,101.5411,244.3822,93.5638,430.8442,497.4493,295.5771,193.3901,409.8681,530.2964,137.3187,90.5033,74.5311,339.9189,355.8649,92.4984,22.0941,161.7542,113.144,71.6559,28.6507,108.3877,71.9896,327.0306,27.5886,139.7735,5396.8439
01/10/2009,63.8108,78.3913,7.5983,12.4184,53.0635,37.4413,131.2936,92.8345,223.9916,84.3969,380.9564,419.6305,275.2327,161.4905,380.9075,479.3517,126.0309,79.3391,67.4087,289.2979,318.7751,76.3028,20.7532,136.8649,107.424,61.2254,24.4774,92.8093,58.884,283.594,25.4941,124.8077,4776.2983
01/01/2010,67.4965,77.084,8.6622,13.0847,58.0532,40.8939,122.4091,97.8417,224.2872,84.4473,384.4495,432.7083,277.8127,155.0171,413.4921,496.9437,131.402,74.5696,67.0188,281.1539,302.6101,74.9706,19.095,136.9676,110.9438,67.8625,25.7252,87.9904,52.0879,280.9259,27.3113,136.8111,4832.1289
01/04/2010,79.1047,91.6085,8.5464,14.7972,60.9197,44.8843,163.9379,105.8899,267.1901,103.7767,446.127,555.4349,337.0437,202.8274,470.3065,585.3163,150.5298,88.5654,75.0238,362.3867,374.2941,101.731,23.1579,171.6194,125.6836,76.2862,31.085,112.806,69.9081,346.9656,29.4348,158.6751,5835.8636
01/07/2010,75.6273,92.4289,8.2586,14.3003,59.2913,43.642,157.4884,100.2682,262.1296,97.7085,424.4336,525.4313,302.8649,192.7422,444.3774,549.6632,141.4435,89.8966,72.3992,350.2263,362.2044,96.0891,22.7931,166.8738,117.0117,72.2103,29.075,104.6083,73.9488,324.0038,29.1213,148.5753,5551.1361
01/10/2010,71.6935,86.8352,8.2783,12.8732,55.7454,42.0981,130.62,93.842,245.6721,93.17,382.54,467.7576,283.7603,164.925,427.3934,512.5789,131.4844,84.3659,69.5411,302.772,332.1136,81.7424,21.758,154.0093,116.5805,75.6607,25.4575,96.8922,62.5753,285.5419,26.8253,137.6504,5084.7532
01/01/2011,69.0867,89.2406,8.1083,12.8965,55.2152,44.0247,131.1926,97.4327,250.7445,93.266,374.0619,473.4079,294.2487,160.713,438.0735,517.7296,134.1881,80.6943,67.9952,300.9076,331.7859,79.2148,20.6533,144.9982,118.1399,82.3034,25.4771,95.1302,57.3454,291.7779,27.47,142.615,5110.1385
01/04/2011,79.407,101.6637,9.3589,15.5239,64.9791,46.2423,168.3967,109.3475,297.9777,110.6457,446.5075,581.9586,342.1935,208.5627,486.7138,584.8513,156.8732,89.945,81.4405,378.2811,394.7723,105.4633,24.1985,190.2209,134.1303,86.5791,30.7569,119.6336,72.922,353.3386,30.8103,168.0181,6071.7138
01/07/2011,81.4962,107.1542,9.9774,15.8585,64.8179,47.8114,161.9014,109.5461,311.5597,111.0496,448.375,586.8589,329.2488,213.2398,504.2452,590.787,156.4467,98.2571,82.3149,404.243,395.5674,107.0604,24.9682,191.3702,133.8296,81.6954,29.7844,120.5552,80.313,339.6058,31.25,165.3853,6136.5736
01/10/2011,76.3324,98.6943,9.2063,13.5367,61.957,45.7439,133.3374,102.9709,291.6427,101.6582,389.4311,513.561,296.6662,180.1462,466.7539,551.6884,139.3072,87.4593,77.1726,343.9532,347.5139,91.5576,22.2556,174.207,125.7215,76.3377,25.7101,109.9808,63.9656,288.3641,28.2787,149.4344,5484.5456
01/01/2012,78.3773,97.1407,9.4402,13.4282,62.9102,45.7617,137.6118,107.7142,287.1571,100.5991,376.1745,499.9676,303.9454,167.144,463.4339,539.7554,135.5411,80.13,80.0014,319.0677,334.4652,84.3484,22.8892,164.0889,124.5172,82.7191,27.0595,112.232,58.2083,288.3006,29.1033,152.9931,5386.2265
01/04/2012,96.8995,117.2737,10.6115,15.9193,74.8558,50.6983,169.6967,130.1724,300.2027,119.6335,446.6675,631.7379,343.6958,220.8771,542.9039,635.5297,161.0558,93.2212,92.7648,419.3346,400.2807,115.3672,25.842,209.5444,140.3322,91.6153,32.2949,139.1467,72.8836,349.7124,32.0434,187.3337,6470.1482
01/07/2012,82.2707,122.534,10.1858,13.7413,75.1477,42.6619,138.1476,118.7217,240.1006,108.8925,381.4985,515.627,287.3849,174.977,436.4033,520.0262,133.5706,84.2082,86.5519,327.5564,336.14,93.042,22.0118,186.7913,121.0203,77.3882,27.1435,121.9626,64.9322,275.3337,29.0815,158.8864,5413.9414
01/10/2012,75.1202,127.9115,11.1185,12.532,70.5956,41.0481,127.2785,110.2108,186.102,101.9645,359.4431,490.9629,295.984,158.4901,440.7644,514.0446,131.0989,81.9581,80.7077,300.262,332.3597,85.8183,22.5786,178.271,115.3557,75.0361,24.7656,112.1456,57.2127,262.663,28.9653,155.2369,5168.006
01/01/2013,68.1282,137.0635,9.7651,11.612,75.6802,41.3592,115.3825,121.4266,299.549,100.4012,331.9034,451.9885,281.207,133.5088,402.7842,473.2018,117.1541,71.1607,149.5409,263.0254,305.1962,75.6618,23.3749,155.2298,118.4076,80.2588,25.6197,146.1904,46.2452,237.4112,29.807,141.0833,5040.3283
01/04/2013,81.6936,163.1497,11.1242,14.5613,87.7625,49.9285,138.5823,138.4651,380.1811,122.8904,392.9364,568.0388,332.1242,167.6663,479.9296,557.0199,140.4843,84.9164,156.023,319.2475,367.3534,101.0743,27.3496,194.9855,136.9659,94.0096,34.0058,195.388,58.6031,290.9245,33.9141,175.7304,6097.0292
01/07/2013,77.863,163.4079,10.6262,13.7888,84.8156,46.2587,129.0062,134.5644,367.1149,119.2885,367.0923,509.1018,287.8894,169.4825,438.796,508.3566,127.8268,85.0934,148.1569,292.9603,338.8133,92.8156,25.9793,185.0802,126.6914,84.2469,30.0632,190.3911,59.6653,261.6828,31.8192,163.4966,5672.2351
01/10/2013,77.9147,155.9607,14.2431,14.9383,78.9341,45.7579,118.879,124.7605,347.7484,116.3309,341.0658,478.4533,304.039,159.4831,433.5058,510.145,129.0402,79.9077,143.4316,275.6343,323.1965,141.9895,24.1332,171.7436,120.9119,82.6413,27.486,177.3135,52.5558,237.6371,29.887,153.4899,5493.1586
01/01/2014,76.1388,145.3448,10.069,12.2982,79.4514,45.3559,124.8922,133.3558,406.7641,106.2887,335.7256,489.301,284.4901,134.5344,459.3074,516.3998,118.9023,78.8177,139.8149,280.0083,308.8254,82.9478,23.7168,163.1337,126.5127,79.6202,30.2263,200.7822,45.9429,234.8284,30.3664,155.5636,5459.727
01/04/2014,83.4929,155.9564,11.4266,15.1442,92.1145,45.907,146.0251,147.6889,436.5493,124.9961,373.9506,564.3787,314.669,164.4866,489.0293,560.7314,142.8562,89.2461,157.4373,307.7096,346.1508,101.8035,26.2757,199.1592,133.8585,89.1743,37.9016,261.355,56.0366,278.7559,32.9035,179.6064,6166.7768
01/07/2014,81.0742,159.4505,12.1975,14.6907,120.7202,68.7387,108.4853,128.3004,341.0972,130.5383,370.9478,544.2585,317.5415,190.0364,464.1249,560.1193,132.14,96.9162,158.1318,312.4469,343.194,106.0313,27.7011,203.4218,123.337,83.348,31.5805,190.8365,61.4405,271.0018,33.4575,180.277,5967.5832
01/10/2014,83.1717,159.0984,12.8911,13.634,99.9693,56.7713,122.6987,144.8547,329.5391,129.1464,381.5085,498.5246,286.7815,231.4415,547.3912,606.7766,133.7646,96.7934,159.0881,314.629,340.4795,107.4215,27.3493,204.1698,133.3145,84.9692,31.2547,180.1877,55.4379,262.8266,32.5927,184.7201,6053.1969
01/01/2015,80.557,152.9863,11.5517,12.8828,92.0097,57.3344,127.4033,141.7042,252.3952,117.1409,369.4966,509.2074,285.092,180.902,539.3932,602.9751,127.7855,88.6991,148.3241,307.5909,319.8477,99.9097,27.1844,179.7582,129.915,85.1597,28.4479,142.7201,48.4601,249.183,32.4857,175.1145,5723.6171
01/04/2015,89.846,177.5296,12.9757,14.8044,98.9146,52.0523,152.1971,168.5734,283.9519,136.6724,399.6195,586.0004,339.6169,180.6331,549.9498,630.1514,142.3167,96.6937,166.5467,328.334,354.7734,117.7145,29.1064,216.8072,139.7683,100.5924,33.8717,174.1882,58.0279,289.5988,34.2201,197.2074,6353.2556
01/07/2015,92.4914,182.6473,13.3937,14.904,100.784,55.8572,160.027,172.8966,269.6135,145.8666,405.7588,612.6407,329.6718,192.6684,577.65,660.3542,143.0962,112.556,169.3985,344.0706,357.3936,128.203,31.1686,236.4619,134.4361,95.3014,34.1979,180.1627,63.8779,285.9105,35.0306,204.6756,6543.1662
01/10/2015,86.9748,168.0687,13.3264,13.8545,95.4153,54.0285,153.9332,160.4097,284.3088,133.918,386.2712,555.652,323.3599,171.329,551.5886,638.5099,137.8687,101.7662,160.1616,309.4014,339.2558,114.2923,29.9752,216.4019,129.1246,94.7861,33.6508,167.9256,54.5097,261.4512,32.9391,190.275,6164.7337
01/01/2016,89.8222,169.1695,12.906,14.2744,93.4326,56.1058,145.8517,163.8925,314.0065,128.5103,380.2463,550.7371,333.3327,166.5018,587.3121,643.1071,138.6548,95.316,158.1854,324.6495,340.1755,111.1331,29.3125,206.5435,137.184,99.5117,32.3373,147.7233,49.2795,259.9767,32.7958,193.862,6205.8493
01/04/2016,100.2131,182.4093,14.2835,16.7256,106.6916,61.6094,144.8183,183.3595,359.0052,154.9773,416.0994,628.0464,359.7286,201.3261,651.8037,702.6053,151.5423,110.7152,166.9308,361.7344,376.9058,138.4207,32.1952,247.0238,147.025,113.0398,40.1485,172.9974,59.9378,294.4425,36.6573,228.4065,6961.8252
01/07/2016,103.667,177.0723,14.868,17.1889,108.0361,63.8859,143.7785,184.9891,370.8367,163.9028,399.2367,625.5936,329.3159,201.0946,636.1883,682.2493,144.4786,118.0538,158.8292,361.745,368.5921,139.3053,33.6335,255.2066,165.7727,101.7854,39.8209,168.0992,65.4381,283.4936,36.9965,228.8298,6891.9842
01/10/2016,102.2457,169.5472,13.3286,16.9547,111.9405,70.5548,142.1463,173.1972,365.4528,156.5759,411.3639,607.7674,347.7921,194.824,645.498,717.467,146.8549,113.2801,172.0127,372.0665,373.8324,136.2641,34.5874,252.0547,172.6891,98.8292,41.868,164.7461,58.516,286.0538,36.3434,226.9685,6933.6228
01/01/2017,99.844,173.0563,14.9924,17.5106,109.9808,65.2089,153.3761,187.7753,308.1035,149.2855,411.0159,606.8908,357.8801,189.1456,652.4474,701.9936,147.7938,106.4665,202.8555,377.1089,382.4452,132.1164,33.2854,242.8826,169.7589,99.9937,37.4872,155.1009,54.0892,303.8808,41.0515,223.4371,6908.2604
01/04/2017,110.0001,198.0333,16.251,19.031,126.0679,75.5105,160.5252,205.5889,327.3466,181.2834,454.8711,706.9571,383.9982,214.6278,720.1047,761.6517,165.1253,121.9421,222.0804,385.5806,409.4369,152.0748,35.7632,287.6311,183.5853,111.1176,39.7234,179.3017,63.0229,327.7677,45.2117,260.4072,7651.6204
01/07/2017,110.9344,209.0381,17.4516,19.4629,131.004,77.2408,166.4373,211.9919,339.2728,194.5927,449.0991,707.4835,361.4163,214.0477,727.2037,748.2775,164.6343,132.9309,220.7503,379.6599,406.0648,154.8164,37.8159,293.4949,176.4084,115.304,43.3051,194.6466,68.4517,326.0549,47.2523,260.2551,7706.7998
01/10/2017,112.5692,203.9035,17.8164,19.1638,153.3541,85.5113,168.5304,220.2941,331.2119,190.1103,462.7584,752.2154,386.9369,216.851,781.6861,826.0102,165.0631,134.6389,232.9164,391.8477,416.0638,156.6377,39.1307,301.7785,190.259,121.6983,44.2654,199.4262,63.9974,328.5469,47.4661,261.2053,8023.8645
01/01/2018,102.0705,192.4444,17.443,16.9488,135.7912,83.462,169.1245,204.5026,302.821,159.7745,415.698,633.4825,364.2094,185.0752,710.5606,731.16,147.0795,111.7376,213.5251,367.9041,380.7361,133.6183,37.0932,255.2668,175.1708,112.0577,42.3215,171.2797,51.7147,289.5398,45.0794,228.1969,7186.8894
01/04/2018,126.2512,234.3137,20.054,20.6043,152.3156,83.3719,211.0622,263.5608,379.0855,218.42,510.6506,832.0543,437.3337,249.0204,906.666,909.4483,181.1187,144.3325,262.2111,475.911,457.3603,181.8342,41.76,337.1453,210.9427,141.0911,54.1946,215.7403,68.0039,373.7801,54.236,303.7113,9057.5855
